file_path,state,size_bytes,md5,page_count,class,reason,status,digital_guess,lang_guess,lang_source,lang_conf,lang_votes,garbled_detected
data/POP Bank/Maharashtra/BSMR-736.pdf,Maharashtra,166318,9e1c40f66e1fcfe77ec2eed23b8bcefc,2.0,digital_en,len=3552 lang=am score=-24345.26 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/BSMR-853.pdf,Maharashtra,150544,541901752ddffc0679ccb8c12b695b95,2.0,digital_en,len=3594 lang=am score=-24598.36 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Bhendi.pdf,Maharashtra,255617,4bcc52ef7de3acbe6806aa2f2d165434,2.0,digital_en,len=2971 lang=am score=-20045.09 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Black-Gram.pdf,Maharashtra,142653,22b59b7fafc95e1c516a59c30d718497,2.0,digital_en,len=2328 lang=am score=-15328.84 decision=digital_threshold,pending,True,indic,osd,0.8,indic;unsure,True
data/POP Bank/Maharashtra/CSH-25.pdf,Maharashtra,198217,9cc3121e4383daafa134eadf0447f06b,3.0,digital_en,len=4909 lang=am score=-27717.94 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/CSV-18.pdf,Maharashtra,136870,54fdbddeb2953f07d81504ad5d395b10,3.0,digital_en,len=5365 lang=am score=-26862.85 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Custard-Apple.pdf,Maharashtra,187712,dae349bf501d144aeb524db27b3ce2f0,3.0,digital_en,len=6145 lang=am score=-28013.26 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-01.pdf,Maharashtra,283812,172f50066fa74f5558d047505f7283f2,3.0,digital_en,len=6006 lang=am score=-26501.30 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-02.pdf,Maharashtra,177683,c46a00af8dde4139753d2ff5071031e7,3.0,digital_en,len=5295 lang=am score=-26647.70 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-123.pdf,Maharashtra,293939,34f6321baa89b05992568b6a19da615e,3.0,digital_en,len=5604 lang=am score=-26261.16 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-45.pdf,Maharashtra,274016,230ef21d7e19b55e8aae41ff0ce41ec3,3.0,digital_en,len=5526 lang=am score=-26572.58 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Linseed-93.pdf,Maharashtra,349638,460fe1ace37dbc95f4277f71cc61cdd7,2.0,digital_en,len=3654 lang=am score=-24311.68 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Linseed-RLC-04.pdf,Maharashtra,420759,e5c6bffe187934e4a67bd884db3cae8c,2.0,digital_en,len=3657 lang=am score=-24465.84 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-158.pdf,Maharashtra,262773,b58730b168013059dd8252136328591f,4.0,digital_en,len=6017 lang=am score=-26511.13 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-162.pdf,Maharashtra,241135,bd33e0ada5781ca36d4087ed594df6b9,4.0,digital_en,len=6025 lang=am score=-26446.09 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-612.pdf,Maharashtra,238564,0f5de00a16d1793d7627d1401c5abe44,4.0,digital_en,len=6017 lang=am score=-26460.14 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-71.pdf,Maharashtra,245963,77efcbe70c3e6e598ab7ddb0c9fc8847,4.0,digital_en,len=6030 lang=am score=-26451.74 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-81.pdf,Maharashtra,230658,a32b193b0cfadbf9d11321267727f40f,4.0,digital_en,len=6021 lang=am score=-26517.98 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Mirchi.pdf,Maharashtra,275859,32a9b0c6647eda1c767b3fd5f5624356,2.0,digital_en,len=3590 lang=am score=-23593.22 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Muktta.pdf,Maharashtra,186682,668eb9e8139e0c4db25446c9a51b4371,2.0,digital_en,len=1609 lang=am score=-10193.95 decision=digital_threshold,pending,True,indic,osd,0.8,indic;unsure,True
data/POP Bank/Maharashtra/NH-452-(Renuka).pdf,Maharashtra,215943,a251ecb6daa2956ced3b14fa7862dfea,2.0,digital_en,len=3026 lang=am score=-19094.50 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NH-545.pdf,Maharashtra,215624,dad05aee32b0d51927536b23bd0feb40,2.0,digital_en,len=2966 lang=am score=-18913.21 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NH-615-(Anusaya).pdf,Maharashtra,245603,4ecc2ac1bc659ed17e07f6fd19917147,2.0,digital_en,len=3130 lang=am score=-19885.18 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NH-635.pdf,Maharashtra,230416,26e926992a7acaa505c6495c899a8007,2.0,digital_en,len=3053 lang=am score=-19326.41 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NHH-250.pdf,Maharashtra,193343,dd4918f8d0c325687ba8c7cbd9197740,2.0,digital_en,len=3469 lang=am score=-22013.69 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NHH-44.pdf,Maharashtra,173022,850369aebe8a79cbe2f256afd37ada68,2.0,digital_en,len=3644 lang=am score=-22744.71 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NHH-715.pdf,Maharashtra,261575,8f79e6b59c964159cdde0c3c18c9a5fd,2.0,digital_en,len=3457 lang=am score=-22002.42 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/No-263.pdf,Maharashtra,200785,6c96d97e3b218143e18f138acc18a1fd,2.0,digital_en,len=1732 lang=am score=-11064.63 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-08.pdf,Maharashtra,119250,dc54a25e4d04e564246603aab90f83e8,3.0,digital_en,len=4791 lang=am score=-25927.70 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-141-(Namdeo).pdf,Maharashtra,118923,5af932471030481cc25404b48e5f000e,2.0,digital_en,len=4675 lang=am score=-25957.22 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-183-(Sawta).pdf,Maharashtra,118743,fb80ac4720b79e627da4caf34d5256f9,2.0,digital_en,len=4728 lang=am score=-25831.79 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-255-(Parbhani-Turab).pdf,Maharashtra,120903,395a55a575aa13ee7e27914f926bd3f3,2.0,digital_en,len=4719 lang=am score=-25920.57 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-32-(Eknath).pdf,Maharashtra,99234,a45284510a15c31e53b3a6c5d07df93d,2.0,digital_en,len=4643 lang=am score=-25894.99 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-402-(Vinayak).pdf,Maharashtra,114906,dc061e6a7c43014d3cb74dce4241535c,2.0,digital_en,len=4745 lang=am score=-25935.37 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-528.pdf,Maharashtra,116441,6f3999cf75e775a334867f2692e976a4,2.0,digital_en,len=4706 lang=am score=-25888.33 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PBN-12.pdf,Maharashtra,194905,f8c35585c2eb7dd8f826e98f93aca086,2.0,digital_en,len=2786 lang=am score=-18609.97 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PBN-40.pdf,Maharashtra,210861,534b9ab517a64ed5b351eff3b4795ee5,2.0,digital_en,len=2755 lang=am score=-18600.48 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PBN-86.pdf,Maharashtra,209673,d7f860fa5fceb56e29bd9397534570c6,2.0,digital_en,len=2773 lang=am score=-18612.06 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PBNR.pdf,Maharashtra,125086,f88a32c387abd5843af9f23d5d68378f,2.0,digital_en,len=2247 lang=am score=-14790.50 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PH-348-(Yamuna).pdf,Maharashtra,302319,90cec41d21292691200ecbc0879699ef,2.0,digital_en,len=3023 lang=am score=-19254.28 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PHA-46.pdf,Maharashtra,125043,93d031420118410c5e0bad750072685d,2.0,digital_en,len=4707 lang=am score=-25970.57 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PHH-316.pdf,Maharashtra,314799,4864d57a73836ec932a360369ae9b203,2.0,digital_en,len=2988 lang=am score=-19061.82 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PPC-6.pdf,Maharashtra,168962,41db987fd6d71d9c6de415df0f4ae442,2.0,digital_en,len=3615 lang=am score=-24991.94 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PVK-400.pdf,Maharashtra,239983,6033ff3dd2e729f3a915eecb8a081bc1,3.0,digital_en,len=5117 lang=am score=-27731.51 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PVK-801.pdf,Maharashtra,136080,a1c7267d435c5254801335e5534d336d,3.0,digital_en,len=4914 lang=am score=-27754.52 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PVK-809.pdf,Maharashtra,140701,3c6a5ddcd17c2c9c8d39141b059b8b36,3.0,digital_en,len=4886 lang=am score=-27752.70 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Parag.pdf,Maharashtra,123603,c6f8185dfad5ecd68969f79b78410c1a,2.0,digital_en,len=2255 lang=am score=-14789.32 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Prabhavti.pdf,Maharashtra,103748,8c0df385812c1405c73b95d2c1e945fe,2.0,digital_en,len=2274 lang=am score=-14920.66 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Pratisthan.pdf,Maharashtra,197045,5d674b65bf47872951c0eed984d3a776,2.0,digital_en,len=1723 lang=am score=-11137.43 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Release_Impliments.pdf,Maharashtra,1800421,1fb78ab66adf7b6838ac3dcb8ef4608a,35.0,digital_en,len=7006 lang=am score=-26277.08 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/SPH-1641.pdf,Maharashtra,231005,fabeb6864c174048b6208a5d81a39551,3.0,digital_en,len=5073 lang=am score=-27713.84 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/SPV-1411.pdf,Maharashtra,134233,5a1c43b7978a7fe114ba494252bf5c65,3.0,digital_en,len=5376 lang=am score=-26834.70 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Shiwai.pdf,Maharashtra,170028,ed7d166d6f71f971384ea02e4a26ef63,2.0,digital_en,len=2330 lang=am score=-15185.85 decision=digital_threshold,pending,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Sugandha.pdf,Maharashtra,72732,4cd95278ca300f2f0b44024a523137e9,1.0,digital_en,len=2235 lang=am score=-14825.66 decision=digital_threshold,pending,True,indic,osd,0.8,indic,True
