file_path,state,size_bytes,md5,page_count,class,reason,status,digital_guess,lang_guess,lang_source,lang_conf,lang_votes,garbled_detected
data/POP Bank/Bihar/POP-Vegetables.pdf,Bihar,21102059,713d8e88c11c9aaeaf267516172b6dfe,88.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Bihar/POP-Winter Maize.pdf,Bihar,6255773,7811fa9b0e4de9c280fe4b58c240be9b,6.0,scanned_en,len=129 lang=da score=-72.07 decision=scanned_low_text,pending,False,unsure,osd,0.1147,unsure;unsure,False
data/POP Bank/Bihar/Tuber-Crops-αñòαñéαñªαÑÇαñ»-αñ½αñ╕αñ▓αÑçαñé.pdf,Bihar,1064398,1f9b9ed88551146aa5af2009442cba9b,9.0,digital_en,len=7620 lang=en score=-6663.05 decision=digital_threshold,pending,True,unsure,osd,0.3428,en;indic,False
data/POP Bank/Chattisgarh/Area_production_2021_22..pdf,Chattisgarh,2769497,7492cb32c1c1dee59ef12d95d80bd57a,12.0,scanned_indic,len=0 lang=hi score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Haryana/1621839815.pdf,Haryana,21495808,50f33054e8b1e523f71f728ee752e2f6,,error,parse_error=negative seek value -1,pending,False,unsure,osd,0.0,,False
data/POP Bank/Haryana/1623646687.pdf,Haryana,216737,f2e94714491c78f96473468097138b26,1.0,scanned_en,len=0 lang=en score=0.00 decision=scanned_low_text,pending,False,unsure,osd,0.0,unsure,False
data/POP Bank/Haryana/1724927492.pdf,Haryana,148209,c833f221481487d5d2970fd73b6df312,16.0,digital_en,len=6953 lang=en score=-1425.36 decision=digital_threshold,pending,True,unsure,osd,0.2249,unsure;unsure,False
data/POP Bank/Haryana/EB-53-Barley-Cultivation-in-India-Pocket-Guide.pdf,Haryana,993379,fab96d519a7f6e4792bc47720a0281be,28.0,digital_en,len=669 lang=en score=-718.30 decision=digital_threshold,pending,True,unsure,osd,0.0,unsure;unsure,False
data/POP Bank/Haryana/FARMER UNDERTAKING.pdf,Haryana,410139,608ecd11b4035ad6917d362b80598688,1.0,digital_en,len=2435 lang=la score=-2158.55 decision=digital_threshold,pending,True,indic,osd,0.5,indic,False
data/POP Bank/Haryana/IZqyZu5ycRQSvam9xIM1PB1AJR70ffrsBnsxszdU.pdf,Haryana,746192,b5ec52c700af5c562a154e6a7c3c299b,275.0,digital_en,len=8289 lang=qu score=-1478.65 decision=digital_threshold,pending,True,indic,osd,0.5,unsure;indic,False
data/POP Bank/Haryana/NiJmbB1ETFnjIlnMxFONcSd41erdMftx8Sq8k2ZJ.pdf,Haryana,989003,3a2c1902a20d8ed10e30b0a04da3da70,224.0,digital_en,len=3900 lang=lb score=-4994.43 decision=digital_threshold,pending,True,indic,osd,0.5,indic;indic,False
data/POP Bank/Haryana/Y1K0gxMO5qykKmYo2gBNkK7LjsmhYJLPsiNwI7fK.pdf,Haryana,934502,58c22eb31af078c14b5fa7d5a41dab05,227.0,digital_en,len=3438 lang=fo score=-3742.51 decision=digital_threshold,pending,True,indic,osd,0.5,indic;indic,False
data/POP Bank/Haryana/iZuyuH7I2WG4Ad9uGUBAtch8VD1EZlWxlsAENSVW.pdf,Haryana,21757952,12514fcfb976c7fbec86f4786cc5147a,,error,parse_error=negative seek value -1,pending,False,unsure,osd,0.0,,False
data/POP Bank/Himachal Pradesh/KharifCrops.pdf,Himachal Pradesh,21757952,d68a9f24f9a914635012e47ce91dc6ad,,error,parse_error=EOF marker not found,pending,False,unsure,osd,0.0,,False
