source_name,link
,https://workdrive.zoho.in/file/mwsxe0f68497812ba4b7aadb74f9257d63e38
,https://workdrive.zoho.in/file/dj9iac83e6d054d7943b783013a9807a4dcb9
,https://workdrive.zoho.in/folder/zu51z97a024a8e58c420d8c6043f21a1ccde5
"TNAU- Crop management - Tamil Nadu Agricultural University, Coimbatore, Tamil Nadu",https://workdrive.zoho.in/file/6ldvibf9dcd34cc36489b96af3fd447ef1655
,https://workdrive.zoho.in/file/x3dyz1348e607ab89416bb7552818ef3a81f0
,https://workdrive.zoho.in/file/nz3wh7acc895bd1474a69b558dda4116ff86f
"DKVASS- KVK Raisen, Bhopal",https://workdrive.zoho.in/file/nz3wh135b0e0eb38b4e768716af28af5578a5
,https://workdrive.zoho.in/file/mjszocd62090b5fb24480b0f29e789a6f509f
,https://workdrive.zoho.in/file/mjszo91ae31a1b27846e7b926119e4e90ac71
,https://workdrive.zoho.in/file/mjszo0e2b0101a0a94a15b030e2fb218d6ea4
,https://workdrive.zoho.in/file/mjszofb3e85baf49a4e0db6c3a94f7154065c
,https://workdrive.zoho.in/file/nz3wh7af5574693744d25af4192c0959939cb
,https://workdrive.zoho.in/file/9hgrqc6902edc1e464e8b86e2837f7aef8e34
,https://workdrive.zoho.in/file/9hgrq91eed3c8b4514435ac4a9e9bc572916f
,https://workdrive.zoho.in/file/9hgrqe7e8a308c6df4feb92d3dde88d3f22c6
,https://workdrive.zoho.in/file/9hgrq5d1c90e447c041e29076f371e4347035
,https://workdrive.zoho.in/file/9hgrq3cd91fe443f94d8e87560c59eefe7169
POP Rapeseed and Mustard Punjab folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/qq0vw6da65d8ac8cc475d976a4b6ee1a40144
GOI Meghalaya-Soil Testing Laboratory,https://workdrive.zoho.in/file/nz3wh6d4855e4a275444295549dae1e784ec2
,https://workdrive.zoho.in/file/jzztxce48fffe363d42f4baafc787da4c2bdc
POP Barley Madhya Pradesh folder,https://workdrive.zoho.in/619q27faa4dfaf0af4a34b94a6ee7630e4f99/privatespace/sharedwithme/allusers/jzztx8db599eddf074b0786415d9204e333fb?sfid=
,https://workdrive.zoho.in/file/hv58s3a79b7c62332447d9b7bad83d9ec1e42
,https://workdrive.zoho.in/file/5ez6i2de32ab3c22449d996fec40583a5db6a
,https://workdrive.zoho.in/file/m4578ce9d9e94c0b341c5a3d1c8d23ed3f9f7
,https://workdrive.zoho.in/file/fdy6b40ba819d8817462d90e4bf402cb0efe5
IFFCO-10:26:26,https://workdrive.zoho.in/file/ue0u0a3085e1cddc64d4c8dd73c757ce58735
,https://workdrive.zoho.in/file/jw0g33afc4a533c174f08a289c340c882b323
Seed Production Technology of Rapeseed & Mustard,https://workdrive.zoho.in/file/ea2zn4aa6903603d7497ab339c12e86303818
,https://workdrive.zoho.in/file/ojjbqed4ebe2d571e437f89a7a5e70a4eca09
,https://workdrive.zoho.in/file/dsn77c9dc516965034e4f83aa7302c482f8eb
,https://workdrive.zoho.in/file/g3f7tb489bf47aa584af4b9a126711578f469
