filename,state,conf_band,lang_guess,lang_conf,digital_guess,garbled_detected,page_count,size_bytes,file_path
Mirchi.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,275859,data/POP Bank/Maharashtra/Mirchi.pdf
Muktta.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,186682,data/POP Bank/Maharashtra/Muktta.pdf
NH-452-(Renuka).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,215943,data/POP Bank/Maharashtra/NH-452-(Renuka).pdf
NH-545.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,215624,data/POP Bank/Maharashtra/NH-545.pdf
NH-615-(Anusaya).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,245603,data/POP Bank/Maharashtra/NH-615-(Anusaya).pdf
NH-635.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,230416,data/POP Bank/Maharashtra/NH-635.pdf
NHH-250.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,193343,data/POP Bank/Maharashtra/NHH-250.pdf
NHH-44.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,173022,data/POP Bank/Maharashtra/NHH-44.pdf
NHH-715.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,261575,data/POP Bank/Maharashtra/NHH-715.pdf
No-263.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,200785,data/POP Bank/Maharashtra/No-263.pdf
PA-08.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,119250,data/POP Bank/Maharashtra/PA-08.pdf
PA-141-(Namdeo).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,118923,data/POP Bank/Maharashtra/PA-141-(Namdeo).pdf
PA-183-(Sawta).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,118743,data/POP Bank/Maharashtra/PA-183-(Sawta).pdf
PA-255-(Parbhani-Turab).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,120903,data/POP Bank/Maharashtra/PA-255-(Parbhani-Turab).pdf
PA-32-(Eknath).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,99234,data/POP Bank/Maharashtra/PA-32-(Eknath).pdf
PA-402-(Vinayak).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,114906,data/POP Bank/Maharashtra/PA-402-(Vinayak).pdf
PA-528.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,116441,data/POP Bank/Maharashtra/PA-528.pdf
PBN-12.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,194905,data/POP Bank/Maharashtra/PBN-12.pdf
PBN-40.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,210861,data/POP Bank/Maharashtra/PBN-40.pdf
PBN-86.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,209673,data/POP Bank/Maharashtra/PBN-86.pdf
PBNR.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,125086,data/POP Bank/Maharashtra/PBNR.pdf
PH-348-(Yamuna).pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,302319,data/POP Bank/Maharashtra/PH-348-(Yamuna).pdf
PHA-46.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,125043,data/POP Bank/Maharashtra/PHA-46.pdf
PHH-316.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,314799,data/POP Bank/Maharashtra/PHH-316.pdf
PPC-6.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,168962,data/POP Bank/Maharashtra/PPC-6.pdf
PVK-400.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,239983,data/POP Bank/Maharashtra/PVK-400.pdf
PVK-801.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,136080,data/POP Bank/Maharashtra/PVK-801.pdf
PVK-809.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,140701,data/POP Bank/Maharashtra/PVK-809.pdf
Parag.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,123603,data/POP Bank/Maharashtra/Parag.pdf
Prabhavti.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,103748,data/POP Bank/Maharashtra/Prabhavti.pdf
Pratisthan.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,197045,data/POP Bank/Maharashtra/Pratisthan.pdf
Release_Impliments.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,35.0,1800421,data/POP Bank/Maharashtra/Release_Impliments.pdf
SPH-1641.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,231005,data/POP Bank/Maharashtra/SPH-1641.pdf
SPV-1411.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,134233,data/POP Bank/Maharashtra/SPV-1411.pdf
Shiwai.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,170028,data/POP Bank/Maharashtra/Shiwai.pdf
Sugandha.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,1.0,72732,data/POP Bank/Maharashtra/Sugandha.pdf
Sunflower-08.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,334850,data/POP Bank/Maharashtra/Sunflower-08.pdf
Sunflower-11.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,338919,data/POP Bank/Maharashtra/Sunflower-11.pdf
Sunflower-171.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,290890,data/POP Bank/Maharashtra/Sunflower-171.pdf
Sunflower-35.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,3.0,306024,data/POP Bank/Maharashtra/Sunflower-35.pdf
TJP-48.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,107555,data/POP Bank/Maharashtra/TJP-48.pdf
TP-7.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,189999,data/POP Bank/Maharashtra/TP-7.pdf
Terna.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,114983,data/POP Bank/Maharashtra/Terna.pdf
Tomato.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,198702,data/POP Bank/Maharashtra/Tomato.pdf
Yellora.pdf,Maharashtra,High (≥0.7),indic,0.8,True,True,2.0,187126,data/POP Bank/Maharashtra/Yellora.pdf
Maha Agri-AI Policy_Marathi.pdf,Maharashtra,Low (0.3-0.5),indic,0.4493,True,False,48.0,10518552,data/POP Bank/Maharashtra/Maha Agri-AI Policy_Marathi.pdf
Maha Agri-AI Policy_Marathi_v1.pdf,Maharashtra,Low (0.3-0.5),indic,0.4493,True,False,48.0,10518552,data/POP Bank/Maharashtra/Maha Agri-AI Policy_Marathi_v1.pdf
Tuber-Crops-αñòαñéαñªαÑÇαñ»-αñ½αñ╕αñ▓αÑçαñé.pdf,Bihar,Low (0.3-0.5),unsure,0.3428,True,False,9.0,1064398,data/POP Bank/Bihar/Tuber-Crops-αñòαñéαñªαÑÇαñ»-αñ½αñ╕αñ▓αÑçαñé.pdf
final.pdf,Rajasthan,Medium (0.5-0.7),indic,0.65,True,True,26.0,3079105,data/POP Bank/Rajasthan/final.pdf
FARMER UNDERTAKING.pdf,Haryana,Medium (0.5-0.7),indic,0.5,True,False,1.0,410139,data/POP Bank/Haryana/FARMER UNDERTAKING.pdf
IZqyZu5ycRQSvam9xIM1PB1AJR70ffrsBnsxszdU.pdf,Haryana,Medium (0.5-0.7),indic,0.5,True,False,275.0,746192,data/POP Bank/Haryana/IZqyZu5ycRQSvam9xIM1PB1AJR70ffrsBnsxszdU.pdf
